
**** PROFILE REPORT - TIME IS IN MS AND INCLUDES PROFILE AND CHILD TIME ****

RVA        COUNT      TIME   AVG FUNCTION               FILE
-----------------------------------------------------------------------------
10009fe0  160624      3116     0 palm_getc              cestdio-palmsi
1000d380    1078       421     0 XCEExtTextOutA         cewin32.obj
1000bff0     925        36     0 _getptd                cethread.obj
1000b524     495        15     0 xcestrrchr             cestr.obj
1000bbd8     447       240     0 xcestrtoul             cestr.obj
1000b900     280         8     0 xcestricmp             cestr.obj
1000b950     280         2     0 xcestrcmpi             cestr.obj
10004734     170       426     2 xceread                ceio.obj
10007568     169       416     2 XCEReadFile            ceshared2.obj
100026b8     102         1     0 XCETrace               cedebug.obj
1000a110      86       265     3 palm_putc              cestdio-palmsi
1000a220      85       268     3 palm_fputc             cestdio-palmsi
100110b0      57         2     0 XCEFixPathW            fixpath.obj
100111d0      57         0     0 XCECanonicalizePathW   fixpath.obj
1000b5d4      39         1     0 xcestrdup              cestr.obj
100165b8      38        50     1 XCERegEnumValueA       registry.obj
1000b7e0      38         0     0 xcestrupr              cestr.obj
10002cbc      37         0     0 _appendenv             ceenv.obj
10009710      29         0     0 palm_ferror            cestdio-palmsi
1000dcec      23         8     0 XCEGetProcAddressA     cewin32.obj
10010aa8      18        40     2 XCEFindFirstFileA      findfile.obj
100088d4      18        54     3 xcestat                cestat.obj
1001101c      18         3     0 XCEFixPathA            fixpath.obj
10010f0c      18        38     2 XCEFindFirstFileW      findfile.obj
10003e18      17         0     0 _initfds               ceio.obj
10009014      16         0     0 palm_fsetmode          cestdio-palmsi
10004270      16        24     1 xceopenw               ceio.obj
100045d8      16         5     0 xceclose               ceio.obj
10003e9c      16         0     0 _getnewfd              ceio.obj
10004000      16        32     2 xceopen                ceio.obj
100090e4      16        26     1 palm_fdopen            cestdio-palmsi
100094d8      16         7     0 palm_fclose            cestdio-palmsi
10010130      16        23     1 XCECreateFileW         createfile.obj
100033bc      15         0     0 _winerror2errno        ceerrno.obj
100097ac      15       302    20 palm_fflush            cestdio-palmsi
100090a4      15         0     0 palm_fgetmode          cestdio-palmsi
100099c8      14       270    19 palm_fwrite            cestdio-palmsi
100093dc      13        54     4 palm_fopen             cestdio-palmsi
10007bd4      13         4     0 XCECloseHandle         ceshared2.obj
10016300      11         2     0 XCERegOpenKeyExA       registry.obj
10017d40      10         0     0 __tzset                tzset.obj
100107c4      10         3     0 __loctotime_t          dtoxtime.obj
10002d9c       9         0     0 _findenv               ceenv.obj
100032b4       9         0     0 xcegetenv              ceenv.obj
10018264       9         0     0 _isindst               tzset.obj
10007620       8         1     0 XCEWriteFile           ceshared2.obj
10004a48       8       301    37 xcewrite               ceio.obj
1000d118       4         1     0 XCEGetModuleFileName   cewin32.obj
1001679c       3         0     0 XCERegCloseKey         registry.obj
10006948       3         0     0 xceshared_getstdhand   ceshared2.obj
10005184       3         0     0 xcesetfiletype         ceio.obj
1000a850       3         0     0 palm_setvbuf           cestdio-palmsi
10010a24       3         4     1 XCEGetFileAttributes   fileattr.obj
10010970       3         4     1 XCEGetFileAttributes   fileattr.obj
1001636c       2         2     1 XCERegQueryValueExA    registry.obj

**** PROFILE REPORT - TIME IS IN MS AND INCLUDES PROFILE AND CHILD TIME ****

RVA        COUNT      TIME   AVG FUNCTION               FILE
-----------------------------------------------------------------------------
1000c658       2         3     1 XCEGetEnvironmentVar   ceutil.obj
10001864       2         0     0 argv_append2           ceargv.obj
1000f3f0       2         8     4 XCEFillRect            cewin32.obj
10001784       2         0     0 argv_append1           ceargv.obj
100186fc       2         0     0 cvtdate                tzset.obj
10018acc       1         0     0 xcegeteuid             uid.obj
10010768       1        14    14 DllMain                dllmain.obj
100122c0       1         0     0 xcegetegid             gid.obj
10018ab8       1         0     0 xcegetuid              uid.obj
1000508c       1         0     0 xceinitconsole2        ceio.obj
10017b50       1         2     2 xcetime                time.obj
